,conf,pred,true,correct,prec_k,term
3500,19.940596,2,2,1,1.0,1.0
9564,19.590778,28,28,1,1.0,1.0
9668,18.588316,26,26,1,1.0,1.0
3067,18.187067,2,2,1,1.0,1.0
7221,17.926025,2,2,1,1.0,1.0
1462,17.833654,6,6,1,1.0,1.0
39,17.672028,2,2,1,1.0,1.0
2540,17.138079,2,2,1,1.0,1.0
1119,17.067509,2,2,1,1.0,1.0
288,17.042643,2,2,1,1.0,1.0
5978,16.699734,2,2,1,1.0,1.0
3812,16.653492,26,26,1,1.0,1.0
7472,16.459934,26,26,1,1.0,1.0
9467,16.393522,6,6,1,1.0,1.0
1210,16.269003,26,26,1,1.0,1.0
525,16.261236,2,2,1,1.0,1.0
7830,16.106894,26,26,1,1.0,1.0
9333,16.045467,2,2,1,1.0,1.0
4788,15.994638,2,2,1,1.0,1.0
2575,15.969365,26,26,1,1.0,1.0
7806,15.880272,26,26,1,1.0,1.0
2449,15.875215,6,6,1,1.0,1.0
10105,15.824158,2,2,1,1.0,1.0
10028,15.798073,2,2,1,1.0,1.0
9816,15.76445,2,2,1,1.0,1.0
6354,15.739122,28,28,1,1.0,1.0
5476,15.689964,26,26,1,1.0,1.0
5731,15.550362,2,2,1,1.0,1.0
861,15.458821,6,6,1,1.0,1.0
9567,15.358193,6,6,1,1.0,1.0
1533,15.355275,6,6,1,1.0,1.0
4027,15.297904,26,26,1,1.0,1.0
7660,15.2412615,2,2,1,1.0,1.0
8095,15.185969,6,6,1,1.0,1.0
1761,15.150418,26,26,1,1.0,1.0
7375,15.137637,6,6,1,1.0,1.0
7204,15.08038,2,2,1,1.0,1.0
7056,15.074767,10,10,1,1.0,1.0
975,14.9843235,2,2,1,1.0,1.0
1613,14.885326,23,23,1,1.0,1.0
5118,14.806773,6,6,1,1.0,1.0
228,14.704017,2,2,1,1.0,1.0
8211,14.6936035,6,6,1,1.0,1.0
7123,14.65162,6,6,1,1.0,1.0
2853,14.650588,28,28,1,1.0,1.0
2169,14.640036,6,6,1,1.0,1.0
8406,14.63781,2,2,1,1.0,1.0
6158,14.627938,6,6,1,1.0,1.0
1814,14.617198,6,6,1,1.0,1.0
1255,14.615451,6,6,1,1.0,1.0
1314,14.613338,2,2,1,1.0,1.0
10004,14.612853,2,2,1,1.0,1.0
1484,14.587825,28,28,1,1.0,1.0
2178,14.562009,26,26,1,1.0,1.0
9222,14.397012,28,28,1,1.0,1.0
2959,14.381892,6,6,1,1.0,1.0
670,14.340519,2,2,1,1.0,1.0
2535,14.325202,2,2,1,1.0,1.0
5652,14.317672,26,26,1,1.0,1.0
8784,14.291863,2,2,1,1.0,1.0
9609,14.274622,2,2,1,1.0,1.0
1503,14.259143,6,6,1,1.0,1.0
5253,14.253488,26,26,1,1.0,1.0
9006,14.23022,6,6,1,1.0,1.0
3738,14.22478,26,26,1,1.0,1.0
8663,14.2026415,6,6,1,1.0,1.0
6374,14.202365,2,2,1,1.0,1.0
3001,14.17788,6,6,1,1.0,1.0
1646,14.141756,6,6,1,1.0,1.0
1438,14.1338825,6,6,1,1.0,1.0
4497,14.130949,2,2,1,1.0,1.0
6435,14.118477,6,6,1,1.0,1.0
4568,14.094183,2,2,1,1.0,1.0
822,14.058184,6,6,1,1.0,1.0
4100,14.051346,6,6,1,1.0,1.0
8111,14.049841,37,37,1,1.0,1.0
10003,14.02391,6,6,1,1.0,1.0
2641,14.016095,28,28,1,1.0,1.0
8683,13.992347,29,29,1,1.0,1.0
9043,13.951602,6,6,1,1.0,1.0
3190,13.9353,41,41,1,1.0,1.0
3125,13.926434,6,6,1,1.0,1.0
4234,13.920851,6,6,1,1.0,1.0
6297,13.871305,18,18,1,1.0,1.0
7615,13.8562355,2,2,1,1.0,1.0
4063,13.754754,26,26,1,1.0,1.0
1434,13.747384,16,16,1,1.0,1.0
2407,13.7415695,6,6,1,1.0,1.0
2946,13.737339,6,6,1,1.0,1.0
7076,13.727164,2,2,1,1.0,1.0
9315,13.726628,28,28,1,1.0,1.0
3065,13.717383,28,28,1,1.0,1.0
8419,13.689427,26,26,1,1.0,1.0
9034,13.654441,28,28,1,1.0,1.0
6499,13.632479,28,28,1,1.0,1.0
762,13.527553,6,6,1,1.0,1.0
3711,13.522018,6,6,1,1.0,1.0
7058,13.517117,6,6,1,1.0,1.0
1225,13.467413,6,6,1,1.0,1.0
9372,13.461103,6,6,1,1.0,1.0
5754,13.457152,28,28,1,1.0,1.0
3482,13.43937,6,6,1,1.0,1.0
8198,13.427388,6,6,1,1.0,1.0
7030,13.42043,2,2,1,1.0,1.0
2872,13.419049,28,28,1,1.0,1.0
1545,13.364684,41,41,1,1.0,1.0
2450,13.337474,28,28,1,1.0,1.0
7552,13.308845,6,6,1,1.0,1.0
8018,13.307689,6,6,1,1.0,1.0
9806,13.298322,6,6,1,1.0,1.0
10170,13.291105,26,26,1,1.0,1.0
7117,13.290649,6,6,1,1.0,1.0
244,13.288811,6,6,1,1.0,1.0
5278,13.255919,6,6,1,1.0,1.0
3571,13.219258,26,26,1,1.0,1.0
994,13.203746,10,10,1,1.0,1.0
4876,13.199986,16,16,1,1.0,1.0
9376,13.187363,2,2,1,1.0,1.0
3191,13.156684,6,6,1,1.0,1.0
342,13.136975,26,26,1,1.0,1.0
636,13.136585,2,2,1,1.0,1.0
7566,13.1332035,6,6,1,1.0,1.0
1941,13.1270275,6,6,1,1.0,1.0
3966,13.09489,2,2,1,1.0,1.0
7314,13.083942,6,6,1,1.0,1.0
2174,13.074835,2,2,1,1.0,1.0
4211,13.064869,23,23,1,1.0,1.0
1073,13.0460005,6,6,1,1.0,1.0
6503,13.040367,2,2,1,1.0,1.0
4048,13.03834,6,6,1,1.0,1.0
8697,13.031548,6,6,1,1.0,1.0
7473,13.023877,26,26,1,1.0,1.0
3757,13.017938,6,6,1,1.0,1.0
9492,13.007573,28,28,1,1.0,1.0
2304,12.98605,6,6,1,1.0,1.0
4851,12.972053,16,16,1,1.0,1.0
389,12.953965,6,6,1,1.0,1.0
3189,12.95241,26,26,1,1.0,1.0
6369,12.945604,6,6,1,1.0,1.0
1643,12.914369,6,6,1,1.0,1.0
8344,12.912426,6,6,1,1.0,1.0
3936,12.892873,2,2,1,1.0,1.0
3603,12.890992,6,6,1,1.0,1.0
602,12.889241,6,6,1,1.0,1.0
3950,12.87768,16,16,1,1.0,1.0
2230,12.865121,6,6,1,1.0,1.0
10171,12.861476,6,6,1,1.0,1.0
5068,12.848998,18,18,1,1.0,1.0
9058,12.848326,28,28,1,1.0,1.0
1268,12.834409,26,26,1,1.0,1.0
4407,12.82212,6,6,1,1.0,1.0
4823,12.801925,2,2,1,1.0,1.0
9219,12.784042,6,6,1,1.0,1.0
8421,12.774871,26,26,1,1.0,1.0
4040,12.767948,6,6,1,1.0,1.0
4733,12.76405,6,6,1,1.0,1.0
6999,12.762431,6,6,1,1.0,1.0
4206,12.762224,8,8,1,1.0,1.0
3111,12.760871,6,6,1,1.0,1.0
6908,12.752058,6,6,1,1.0,1.0
6709,12.7474575,6,6,1,1.0,1.0
6555,12.729034,6,6,1,1.0,1.0
4,12.708978,6,6,1,1.0,1.0
4594,12.695522,6,6,1,1.0,1.0
5647,12.693691,6,6,1,1.0,1.0
4556,12.670831,6,6,1,1.0,1.0
9292,12.650319,10,10,1,1.0,1.0
8175,12.639196,26,26,1,1.0,1.0
4180,12.627066,6,6,1,1.0,1.0
8761,12.616226,18,18,1,1.0,1.0
6874,12.616085,6,6,1,1.0,1.0
3270,12.598089,16,16,1,1.0,1.0
7283,12.591902,6,6,1,1.0,1.0
6562,12.5856285,18,18,1,1.0,1.0
8148,12.57358,26,26,1,1.0,1.0
1358,12.55045,6,6,1,1.0,1.0
7971,12.548725,6,6,1,1.0,1.0
1372,12.543592,23,23,1,1.0,1.0
1132,12.533092,26,26,1,1.0,1.0
7787,12.513864,28,28,1,1.0,1.0
4852,12.502422,26,26,1,1.0,1.0
9562,12.49628,6,6,1,1.0,1.0
7039,12.490178,18,18,1,1.0,1.0
5127,12.461357,6,6,1,1.0,1.0
8919,12.460795,18,18,1,1.0,1.0
5261,12.460256,6,6,1,1.0,1.0
9784,12.455689,6,6,1,1.0,1.0
1665,12.454246,6,6,1,1.0,1.0
6110,12.448042,2,2,1,1.0,1.0
9599,12.445907,6,6,1,1.0,1.0
3333,12.444335,6,6,1,1.0,1.0
4982,12.439181,2,2,1,1.0,1.0
9695,12.432252,26,26,1,1.0,1.0
6317,12.4027,41,41,1,1.0,1.0
7613,12.391954,6,6,1,1.0,1.0
6228,12.385989,6,6,1,1.0,1.0
7378,12.378777,6,6,1,1.0,1.0
1764,12.369016,5,5,1,1.0,1.0
3610,12.36175,23,23,1,1.0,1.0
1532,12.361248,6,6,1,1.0,1.0
4386,12.356503,6,6,1,1.0,1.0
5151,12.350406,26,26,1,1.0,1.0
782,12.348646,2,2,1,1.0,1.0
2227,12.347778,18,18,1,1.0,1.0
4719,12.330049,6,6,1,1.0,1.0
6865,12.329651,26,26,1,1.0,1.0
8511,12.328971,6,6,1,1.0,1.0
2069,12.3270645,6,6,1,1.0,1.0
7910,12.3209,6,6,1,1.0,1.0
10111,12.309546,6,6,1,1.0,1.0
5658,12.297517,28,28,1,1.0,1.0
8714,12.296571,6,6,1,1.0,1.0
4178,12.294658,6,6,1,1.0,1.0
2163,12.289247,6,6,1,1.0,1.0
3456,12.287128,6,6,1,1.0,1.0
9343,12.276375,6,6,1,1.0,1.0
9914,12.26464,37,37,1,1.0,1.0
9631,12.26254,6,6,1,1.0,1.0
8475,12.256735,41,41,1,1.0,1.0
3954,12.243142,6,6,1,1.0,1.0
9052,12.218267,18,18,1,1.0,1.0
490,12.192892,18,18,1,1.0,1.0
3294,12.181525,6,6,1,1.0,1.0
8702,12.178297,18,18,1,1.0,1.0
1095,12.153534,18,18,1,1.0,1.0
214,12.134748,6,6,1,1.0,1.0
7961,12.128873,1,1,1,1.0,1.0
7872,12.120984,6,6,1,1.0,1.0
5705,12.117613,26,26,1,1.0,1.0
9350,12.116928,6,6,1,1.0,1.0
5250,12.108026,36,36,1,1.0,1.0
6923,12.093752,18,18,1,1.0,1.0
9227,12.077554,6,6,1,1.0,1.0
7533,12.040031,18,18,1,1.0,1.0
6647,12.036232,26,26,1,1.0,1.0
189,12.03438,6,6,1,1.0,1.0
