landmark,count
138982,10247
62798,4333
177870,3327
176528,3243
192931,2627
126637,2589
83144,2351
171772,2268
20409,2248
151942,1727
84689,1721
139894,1717
62074,1637
10618,1539
45428,1513
41808,1509
139706,1509
60532,1447
161902,1424
194914,1399
113209,1378
86869,1350
80177,1344
47133,1292
121873,1286
1924,1281
46705,1275
47712,1248
15427,1194
51856,1173
187209,1168
179380,1150
36748,1120
149980,1108
46500,1107
14915,1093
120734,1093
33992,1088
40088,1056
164773,1048
171683,1047
176018,1045
168098,1037
20120,1032
165900,1027
25093,1017
136093,1000
187779,986
9070,978
127516,976
56827,975
105337,968
147897,961
180759,947
165596,946
10419,945
46775,943
202388,941
49712,939
184313,939
47378,931
41648,922
180901,921
57505,914
28139,896
191292,895
181631,891
31531,880
88596,880
107917,880
11544,869
199506,864
38482,855
147828,854
126721,853
108327,852
80019,848
31361,847
160944,846
100631,838
146250,838
186080,837
142809,834
97734,832
51272,827
162833,826
75005,814
115821,807
27190,804
173511,803
65855,795
146497,792
70644,790
18786,788
85758,787
142644,782
25847,780
67416,775
190931,768
107750,766
176956,763
6208,746
37394,742
48522,740
24852,739
158844,738
145310,737
85633,735
13755,734
76303,733
44796,726
110398,722
113750,713
21353,709
55623,697
145015,694
109169,686
143710,684
182973,683
171150,682
190822,676
189811,676
177194,672
178519,666
15445,660
107164,659
101399,654
152827,644
80272,640
120885,637
189907,637
142343,636
73300,631
21253,621
171435,620
111311,620
50798,619
51699,615
182908,612
20102,611
97142,611
113145,610
121547,607
177305,605
43222,602
64792,600
39865,598
20064,597
78197,597
194406,595
2079,593
1127,593
5004,589
17062,587
136302,584
179959,582
18392,582
152708,578
14559,577
198657,577
29794,569
144313,569
125425,569
93198,568
137203,567
63529,566
201840,564
188999,563
157511,562
60912,560
39271,556
65199,554
148331,553
125194,550
113838,549
27,548
168106,547
19605,544
196358,541
5170,540
172929,540
192761,538
125786,536
60708,534
124923,534
133563,534
16658,533
173450,533
103899,533
69973,529
25953,529
127523,526
39650,526
37391,526
62831,523
67929,522
70716,521
132969,521
98993,520
195412,520
69193,518
126159,514
90021,514
21703,513
199450,513
60749,512
97717,511
129781,507
169349,506
90647,503
31094,503
194521,501
93154,500
112907,499
144292,498
158818,498
77386,497
88331,497
83928,494
203071,494
96224,492
41239,491
146813,490
25457,490
148481,489
183531,488
38494,486
177409,486
162634,486
114289,486
60349,486
184919,485
184906,485
107801,484
53185,483
33021,482
96663,481
156232,481
144036,480
122142,480
122418,479
202814,479
116255,478
11410,478
26012,478
104605,473
67406,471
7357,471
135601,471
30356,470
44939,469
92224,468
195562,467
190956,467
65658,466
192235,466
102904,465
44743,464
163227,463
26967,463
105676,463
108218,462
34232,461
126100,461
166739,460
113462,460
